category,bfs,municipality,provider,price
Typ II,6407,Corcelles-Cormondrèche,Viteos S.A.,9.75
Typ II,6408,Cortaillod,Viteos S.A.,9.75
Typ II,6412,Peseux,Viteos S.A.,9.75
Typ II,6416,Milvignes,Viteos S.A.,9.75
Typ II,6421,La Chaux-de-Fonds,Viteos S.A.,9.75
Typ II,6431,Les Brenets,Viteos S.A.,9.75
Typ II,6436,Le Locle,Viteos S.A.,9.75
Typ II,6454,Hauterive,Viteos S.A.,9.75
Typ II,6458,Neuchâtel,Viteos S.A.,9.75
Typ II,6459,Saint-Blaise,Viteos S.A.,9.75
Typ II,6461,La Tène,Viteos S.A.,9.75
Typ II,6487,Val-de-Ruz,Viteos S.A.,9.75
Typ II,6512,Val-de-Tarvers,Viteos S.A.,9.75
Typ II,6602,Anières,Services Industriels de Genève SIG,8.10
Typ II,6605,Bardonnex,Services Industriels de Genève SIG,8.10
Typ II,6606,Bellevue,Services Industriels de Genève SIG,8.10
Typ II,6607,Bernex,Services Industriels de Genève SIG,8.10
Typ II,6608,Carouge (GE),Services Industriels de Genève SIG,8.10
Typ II,6612,Chêne-Bougeries,Services Industriels de Genève SIG,8.10
Typ II,6613,Chêne-Bourg,Services Industriels de Genève SIG,8.10
Typ II,6614,Choulex,Services Industriels de Genève SIG,8.10
Typ II,6616,Collonge-Bellerive,Services Industriels de Genève SIG,8.10
Typ II,6617,Cologny,Services Industriels de Genève SIG,8.10
Typ II,6618,Confignon,Services Industriels de Genève SIG,8.10
Typ II,6619,Corsier (GE),Services Industriels de Genève SIG,8.10
Typ II,6620,Dardagny,Services Industriels de Genève SIG,8.10
Typ II,6621,Genève,Services Industriels de Genève SIG,8.10
Typ II,6622,Genthod,Services Industriels de Genève SIG,8.10
Typ II,6623,Le Grand-Saconnex,Services Industriels de Genève SIG,8.10
Typ II,6625,Hermance,Services Industriels de Genève SIG,8.10
Typ II,6628,Lancy,Services Industriels de Genève SIG,8.10
Typ II,6629,Meinier,Services Industriels de Genève SIG,8.10
Typ II,6630,Meyrin,Services Industriels de Genève SIG,8.10
Typ II,6631,Onex,Services Industriels de Genève SIG,8.10
Typ II,6632,Perly-Certoux,Services Industriels de Genève SIG,8.10
Typ II,6633,Plan-les-Ouates,Services Industriels de Genève SIG,8.10
Typ II,6634,Pregny-Chambésy,Services Industriels de Genève SIG,8.10
Typ II,6636,Puplinge,Services Industriels de Genève SIG,8.10
Typ II,6637,Russin,Services Industriels de Genève SIG,8.10
Typ II,6638,Satigny,Services Industriels de Genève SIG,8.10
Typ II,6640,Thônex,Services Industriels de Genève SIG,8.10
Typ II,6641,Troinex,Services Industriels de Genève SIG,8.10
Typ II,6642,Vandoeuvres,Services Industriels de Genève SIG,8.10
Typ II,6643,Vernier,Services Industriels de Genève SIG,8.10
Typ II,6644,Versoix,Services Industriels de Genève SIG,8.10
Typ II,6645,Veyrier,Services Industriels de Genève SIG,8.10
Typ II,1023,Ballwil,WWZ Energie AG,10.55
Typ II,1024,Emmen,ewl energie wasser luzern,9.44
Typ II,1030,Hitzkirch,WWZ Energie AG,10.55
Typ II,1031,Hochdorf,WWZ Energie AG,10.55
Typ II,1033,Inwil,ewl energie wasser luzern,9.44
Typ II,1039,Römerswil,WWZ Energie AG,10.55
Typ II,1040,Rothenburg,ewl energie wasser luzern,9.44
Typ II,1054,Ebikon,ewl energie wasser luzern,9.44
Typ II,1058,Horw,ewl energie wasser luzern,9.44
Typ II,1059,Kriens,ewl energie wasser luzern,9.44
Typ II,1061,Luzern,ewl energie wasser luzern,9.44
Typ II,1063,Meggen,ewl energie wasser luzern,9.44
Typ II,1098,Ruswil,ewl energie wasser luzern,9.44
Typ II,1107,Wolhusen,ewl energie wasser luzern,9.44
Typ II,1125,Dagmersellen,ewl energie wasser luzern,9.44
Typ II,1136,Menznau,ewl energie wasser luzern,9.44
Typ II,1137,Nebikon,ewl energie wasser luzern,9.44
Typ II,1139,Pfaffnau,IB Langenthal AG,7.80
Typ II,1140,Reiden,ewl energie wasser luzern,9.44
Typ II,1140,Reiden,StWZ Energie AG,8.90
